Customer ID,Quarter,Customer Status,Churn Label,Churn Value,Churn Category,Churn Reason
5956-VKDTT,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
0257-ZESQC,Q3,Churned,Yes,1,Attitude,Attitude of support person
2865-TCHJW,Q3,Churned,Yes,1,Competitor,Competitor had better devices
5192-EBGOV,Q3,Churned,Yes,1,Competitor,Competitor had better devices
3419-SNJJD,Q3,Churned,Yes,1,Attitude,Attitude of support person
4554-YGZIH,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5099-BAILX,Q3,Churned,Yes,1,Competitor,Competitor made better offer
4913-EHYUI,Q3,Churned,Yes,1,Competitor,Competitor offered higher download speeds
1626-ERCMM,Q3,Churned,Yes,1,Competitor,Competitor had better devices
5644-PDMZC,Q3,Churned,Yes,1,Attitude,Attitude of support person
4160-AMJTL,Q3,Churned,Yes,1,Attitude,Attitude of support person
0823-HSCDJ,Q3,Churned,Yes,1,Competitor,Competitor made better offer
0067-DKWBL,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5244-IRFIH,Q3,Churned,Yes,1,Other,Poor expertise of online support
2684-EIWEO,Q3,Churned,Yes,1,Competitor,Competitor made better offer
6683-VLCTZ,Q3,Churned,Yes,1,Competitor,Competitor made better offer
0691-IFBQW,Q3,Churned,Yes,1,Competitor,Competitor made better offer
3643-AHCFP,Q3,Churned,Yes,1,Competitor,Competitor made better offer
9231-ZJYAM,Q3,Churned,Yes,1,Other,Moved
0727-BMPLR,Q3,Churned,Yes,1,Competitor,Competitor offered higher download speeds
0947-MUGVO,Q3,Churned,Yes,1,Competitor,Competitor had better devices
0781-LKXBR,Q3,Churned,Yes,1,Competitor,Competitor had better devices
1907-UBQFC,Q3,Churned,Yes,1,Competitor,Competitor had better devices
6513-EECDB,Q3,Churned,Yes,1,Price,Price too high
7074-IEVOJ,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
4750-ZRXIU,Q3,Churned,Yes,1,Competitor,Competitor had better devices
7028-DVOIQ,Q3,Churned,Yes,1,Other,Don't know
4208-UFFGW,Q3,Churned,Yes,1,Other,Don't know
9889-TMAHG,Q3,Churned,Yes,1,Competitor,Competitor had better devices
8919-FYFQZ,Q3,Churned,Yes,1,Competitor,Competitor had better devices
6646-QVXLR,Q3,Churned,Yes,1,Competitor,Competitor had better devices
9369-XFEHK,Q3,Churned,Yes,1,Competitor,Competitor offered more data
1374-DMZUI,Q3,Churned,Yes,1,Competitor,Competitor made better offer
1989-PRJHP,Q3,Churned,Yes,1,Competitor,Competitor had better devices
4822-RVYBB,Q3,Churned,Yes,1,Attitude,Attitude of support person
4184-TJFAN,Q3,Churned,Yes,1,Attitude,Attitude of support person
4145-UQXUQ,Q3,Churned,Yes,1,Competitor,Competitor had better devices
1236-WFCDV,Q3,Churned,Yes,1,Competitor,Competitor offered more data
1271-SJBGZ,Q3,Churned,Yes,1,Competitor,Competitor had better devices
4441-NIHPT,Q3,Churned,Yes,1,Competitor,Competitor had better devices
8999-BOHSE,Q3,Churned,Yes,1,Attitude,Attitude of support person
7029-RPUAV,Q3,Churned,Yes,1,Competitor,Competitor offered more data
8111-SLLHI,Q3,Churned,Yes,1,Attitude,Attitude of support person
5293-WXJAK,Q3,Churned,Yes,1,Competitor,Competitor offered more data
4086-YQSNZ,Q3,Churned,Yes,1,Attitude,Attitude of service provider
8399-YNDCH,Q3,Churned,Yes,1,Competitor,Competitor had better devices
5565-FILXA,Q3,Churned,Yes,1,Other,Don't know
4187-CINZD,Q3,Churned,Yes,1,Competitor,Competitor had better devices
6818-WOBHJ,Q3,Churned,Yes,1,Competitor,Competitor had better devices
9134-CEQMF,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
8519-IMDHU,Q3,Churned,Yes,1,Competitor,Competitor had better devices
3372-KWFBM,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
7206-GZCDC,Q3,Churned,Yes,1,Attitude,Attitude of support person
1768-ZAIFU,Q3,Churned,Yes,1,Competitor,Competitor made better offer
3793-MMFUH,Q3,Churned,Yes,1,Competitor,Competitor made better offer
6567-HOOPW,Q3,Churned,Yes,1,Competitor,Competitor made better offer
8621-MNIHH,Q3,Churned,Yes,1,Competitor,Competitor had better devices
5419-CONWX,Q3,Churned,Yes,1,Competitor,Competitor had better devices
7024-OHCCK,Q3,Churned,Yes,1,Other,Poor expertise of online support
5357-TZHPP,Q3,Churned,Yes,1,Attitude,Attitude of support person
0506-LVNGN,Q3,Churned,Yes,1,Competitor,Competitor had better devices
9809-IMGCQ,Q3,Churned,Yes,1,Competitor,Competitor made better offer
3254-YRILK,Q3,Churned,Yes,1,Competitor,Competitor had better devices
0529-ONKER,Q3,Churned,Yes,1,Attitude,Attitude of support person
5240-IJOQT,Q3,Churned,Yes,1,Competitor,Competitor had better devices
0661-XEYAN,Q3,Churned,Yes,1,Competitor,Competitor had better devices
2660-EMUBI,Q3,Churned,Yes,1,Competitor,Competitor made better offer
7675-OZCZG,Q3,Churned,Yes,1,Competitor,Competitor made better offer
9391-EOYLI,Q3,Churned,Yes,1,Competitor,Competitor made better offer
2761-OCIAX,Q3,Churned,Yes,1,Competitor,Competitor made better offer
3068-OMWZA,Q3,Churned,Yes,1,Competitor,Competitor made better offer
4154-AQUGT,Q3,Churned,Yes,1,Competitor,Competitor made better offer
8017-LXHFA,Q3,Churned,Yes,1,Competitor,Competitor made better offer
4248-QPAVC,Q3,Churned,Yes,1,Competitor,Competitor made better offer
4690-LLKUA,Q3,Churned,Yes,1,Competitor,Competitor made better offer
9490-DFPMD,Q3,Churned,Yes,1,Competitor,Competitor made better offer
8580-AECUZ,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5047-LHVLY,Q3,Churned,Yes,1,Competitor,Competitor made better offer
8375-DKEBR,Q3,Churned,Yes,1,Competitor,Competitor had better devices
7279-BUYWN,Q3,Churned,Yes,1,Attitude,Attitude of support person
7156-MHUGY,Q3,Churned,Yes,1,Competitor,Competitor had better devices
9606-PBKBQ,Q3,Churned,Yes,1,Attitude,Attitude of support person
3536-IQCTX,Q3,Churned,Yes,1,Competitor,Competitor had better devices
3132-TVFDZ,Q3,Churned,Yes,1,Attitude,Attitude of support person
8080-DDEMJ,Q3,Churned,Yes,1,Attitude,Attitude of support person
6702-OHFWR,Q3,Churned,Yes,1,Other,Poor expertise of online support
4510-PYUSH,Q3,Churned,Yes,1,Attitude,Attitude of support person
8840-DQLGN,Q3,Churned,Yes,1,Attitude,Attitude of support person
4193-ORFCL,Q3,Churned,Yes,1,Competitor,Competitor had better devices
7776-QWNFX,Q3,Churned,Yes,1,Attitude,Attitude of support person
6689-TCZHQ,Q3,Churned,Yes,1,Attitude,Attitude of support person
9497-QCMMS,Q3,Churned,Yes,1,Competitor,Competitor made better offer
3424-NMNBO,Q3,Churned,Yes,1,Competitor,Competitor made better offer
4514-GFCFI,Q3,Churned,Yes,1,Attitude,Attitude of support person
8000-REIQB,Q3,Churned,Yes,1,Competitor,Competitor made better offer
4795-KTRTH,Q3,Churned,Yes,1,Competitor,Competitor made better offer
9961-JBNMK,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
6179-GJPSO,Q3,Churned,Yes,1,Competitor,Competitor made better offer
8290-YWKHZ,Q3,Churned,Yes,1,Competitor,Competitor made better offer
8051-HJRLT,Q3,Churned,Yes,1,Attitude,Attitude of service provider
4021-RQSNY,Q3,Churned,Yes,1,Attitude,Attitude of service provider
9061-TIHDA,Q3,Churned,Yes,1,Competitor,Competitor had better devices
8699-ASUFO,Q3,Churned,Yes,1,Attitude,Attitude of service provider
4695-WJZUE,Q3,Churned,Yes,1,Competitor,Competitor had better devices
3988-RQIXO,Q3,Churned,Yes,1,Attitude,Attitude of service provider
5931-FLJJF,Q3,Churned,Yes,1,Attitude,Attitude of service provider
3207-OYBWH,Q3,Churned,Yes,1,Attitude,Attitude of support person
7216-EWTRS,Q3,Churned,Yes,1,Attitude,Attitude of service provider
2528-HFYZX,Q3,Churned,Yes,1,Competitor,Competitor had better devices
4140-MUHUG,Q3,Churned,Yes,1,Attitude,Attitude of service provider
1587-FKLZB,Q3,Churned,Yes,1,Competitor,Competitor had better devices
5440-FLBQG,Q3,Churned,Yes,1,Attitude,Attitude of service provider
2774-LVQUS,Q3,Churned,Yes,1,Competitor,Competitor made better offer
4612-THJBS,Q3,Churned,Yes,1,Attitude,Attitude of service provider
4094-NSEDU,Q3,Churned,Yes,1,Competitor,Competitor made better offer
1846-XWOQN,Q3,Churned,Yes,1,Competitor,Competitor made better offer
3757-NJYBX,Q3,Churned,Yes,1,Other,Moved
9898-KZQDZ,Q3,Churned,Yes,1,Competitor,Competitor had better devices
8263-JQAIK,Q3,Churned,Yes,1,Competitor,Competitor offered more data
2205-YMZZJ,Q3,Churned,Yes,1,Competitor,Competitor made better offer
1254-IZEYF,Q3,Churned,Yes,1,Competitor,Competitor made better offer
9221-OTIVJ,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
5908-QMGOE,Q3,Churned,Yes,1,Competitor,Competitor had better devices
0397-GZBBC,Q3,Churned,Yes,1,Price,Price too high
7641-EUYET,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
8922-LIEGH,Q3,Churned,Yes,1,Dissatisfaction,Poor expertise of online support
8245-UMPYT,Q3,Churned,Yes,1,Dissatisfaction,Poor expertise of phone support
5186-SAMNZ,Q3,Churned,Yes,1,Price,Price too high
5373-SFODM,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
0022-TCJCI,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
5130-IEKQT,Q3,Churned,Yes,1,Price,Price too high
3269-ATYWD,Q3,Churned,Yes,1,Other,Don't know
0354-WYROK,Q3,Churned,Yes,1,Other,Don't know
7576-OYWBN,Q3,Churned,Yes,1,Competitor,Competitor had better devices
5539-TMZLF,Q3,Churned,Yes,1,Competitor,Competitor had better devices
3336-JORSO,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
6861-XWTWQ,Q3,Churned,Yes,1,Attitude,Attitude of support person
4283-FUTGF,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
2397-BRLOM,Q3,Churned,Yes,1,Other,Don't know
8510-AWCXC,Q3,Churned,Yes,1,Attitude,Attitude of support person
8225-BTJAU,Q3,Churned,Yes,1,Competitor,Competitor had better devices
1724-BQUHA,Q3,Churned,Yes,1,Attitude,Attitude of support person
4826-XTSOH,Q3,Churned,Yes,1,Competitor,Competitor had better devices
2408-WITXK,Q3,Churned,Yes,1,Other,Deceased
2634-HCZGT,Q3,Churned,Yes,1,Other,Moved
7503-QQRVF,Q3,Churned,Yes,1,Competitor,Competitor had better devices
0709-TVGUR,Q3,Churned,Yes,1,Competitor,Competitor had better devices
3001-CBHLQ,Q3,Churned,Yes,1,Attitude,Attitude of support person
4102-OQUPX,Q3,Churned,Yes,1,Competitor,Competitor made better offer
3999-QGRJH,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
2454-RPBRZ,Q3,Churned,Yes,1,Dissatisfaction,Service dissatisfaction
2265-CYWIV,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
4550-VBOFE,Q3,Churned,Yes,1,Competitor,Competitor had better devices
7409-KIUTL,Q3,Churned,Yes,1,Competitor,Competitor made better offer
1732-VHUBQ,Q3,Churned,Yes,1,Competitor,Competitor made better offer
0679-IDSTG,Q3,Churned,Yes,1,Competitor,Competitor had better devices
8802-UNOJF,Q3,Churned,Yes,1,Competitor,Competitor had better devices
6313-GIDIT,Q3,Churned,Yes,1,Price,Price too high
2845-AFFTX,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
2815-CPTUL,Q3,Churned,Yes,1,Price,Price too high
1891-FZYSA,Q3,Churned,Yes,1,Competitor,Competitor had better devices
9685-WKZGT,Q3,Churned,Yes,1,Price,Extra data charges
6022-UGGSO,Q3,Churned,Yes,1,Competitor,Competitor had better devices
3923-CSIHK,Q3,Churned,Yes,1,Other,Poor expertise of online support
3677-IYRBF,Q3,Churned,Yes,1,Attitude,Attitude of support person
8118-LSUEL,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
5277-ZLOOR,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
4248-HCETZ,Q3,Churned,Yes,1,Attitude,Attitude of support person
9174-FKWZE,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
5307-DZCVC,Q3,Churned,Yes,1,Price,Extra data charges
8679-JOEVF,Q3,Churned,Yes,1,Price,Price too high
4803-AXVYP,Q3,Churned,Yes,1,Dissatisfaction,Service dissatisfaction
5649-ANRML,Q3,Churned,Yes,1,Other,Poor expertise of online support
7395-IGJOS,Q3,Churned,Yes,1,Competitor,Competitor made better offer
7890-VYYWG,Q3,Churned,Yes,1,Competitor,Competitor had better devices
9907-SWKKF,Q3,Churned,Yes,1,Competitor,Competitor had better devices
6397-JNZZG,Q3,Churned,Yes,1,Competitor,Competitor had better devices
7779-LGOVN,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
9710-ZUSHQ,Q3,Churned,Yes,1,Price,Lack of affordable download/upload speed
3902-FOIGH,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
3318-OSATS,Q3,Churned,Yes,1,Other,Don't know
2636-ALXXZ,Q3,Churned,Yes,1,Dissatisfaction,Poor expertise of online support
9885-CSMWE,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
8058-JMEQO,Q3,Churned,Yes,1,Competitor,Competitor made better offer
7657-DYEPJ,Q3,Churned,Yes,1,Price,Lack of affordable download/upload speed
8276-MQBYC,Q3,Churned,Yes,1,Price,Long distance charges
6015-VVHHE,Q3,Churned,Yes,1,Dissatisfaction,Service dissatisfaction
2516-VQRRV,Q3,Churned,Yes,1,Price,Long distance charges
7580-UGXNC,Q3,Churned,Yes,1,Price,Extra data charges
5178-LMXOP,Q3,Churned,Yes,1,Price,Price too high
7056-IMHCC,Q3,Churned,Yes,1,Price,Price too high
8749-JMNKX,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
0917-EZOLA,Q3,Churned,Yes,1,Price,Extra data charges
8414-MYSHR,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
4988-IQIGL,Q3,Churned,Yes,1,Attitude,Attitude of support person
4706-AXVKM,Q3,Churned,Yes,1,Price,Extra data charges
5889-JTMUL,Q3,Churned,Yes,1,Price,Price too high
9026-RNUJS,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
1624-NALOJ,Q3,Churned,Yes,1,Other,Moved
6210-KBBPI,Q3,Churned,Yes,1,Competitor,Competitor had better devices
2260-USTRB,Q3,Churned,Yes,1,Competitor,Competitor offered more data
8623-TMRBY,Q3,Churned,Yes,1,Competitor,Competitor offered more data
6900-PXRMS,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
3346-BRMIS,Q3,Churned,Yes,1,Dissatisfaction,Service dissatisfaction
2722-JMONI,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
7579-OOPEC,Q3,Churned,Yes,1,Competitor,Competitor had better devices
1771-OADNZ,Q3,Churned,Yes,1,Price,Extra data charges
0612-RTZZA,Q3,Churned,Yes,1,Price,Price too high
4433-JCGCG,Q3,Churned,Yes,1,Competitor,Competitor made better offer
9488-HGMJH,Q3,Churned,Yes,1,Competitor,Competitor made better offer
4818-QIUFN,Q3,Churned,Yes,1,Attitude,Attitude of support person
6961-VCPMC,Q3,Churned,Yes,1,Competitor,Competitor offered more data
4424-TKOPW,Q3,Churned,Yes,1,Price,Lack of affordable download/upload speed
4201-JMNGR,Q3,Churned,Yes,1,Dissatisfaction,Service dissatisfaction
1866-RZZQS,Q3,Churned,Yes,1,Competitor,Competitor had better devices
8631-NBHFZ,Q3,Churned,Yes,1,Competitor,Competitor offered higher download speeds
4958-XCBDQ,Q3,Churned,Yes,1,Competitor,Competitor offered more data
8337-UPOAQ,Q3,Churned,Yes,1,Competitor,Competitor made better offer
6712-OAWRH,Q3,Churned,Yes,1,Attitude,Attitude of support person
5914-DVBWJ,Q3,Churned,Yes,1,Competitor,Competitor offered more data
8644-XLFBW,Q3,Churned,Yes,1,Competitor,Competitor offered more data
1833-VGRUM,Q3,Churned,Yes,1,Price,Price too high
8374-XGEJJ,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
6946-LMSQS,Q3,Churned,Yes,1,Competitor,Competitor made better offer
4039-HEUNW,Q3,Churned,Yes,1,Price,Lack of affordable download/upload speed
0812-WUPTB,Q3,Churned,Yes,1,Price,Long distance charges
2403-BCASL,Q3,Churned,Yes,1,Other,Don't know
3871-IKPYH,Q3,Churned,Yes,1,Other,Moved
1304-NECVQ,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5655-JSMZM,Q3,Churned,Yes,1,Attitude,Attitude of support person
4505-EXZHB,Q3,Churned,Yes,1,Competitor,Competitor offered more data
8972-HJWNV,Q3,Churned,Yes,1,Competitor,Competitor made better offer
2860-RANUS,Q3,Churned,Yes,1,Price,Price too high
0406-BPDVR,Q3,Churned,Yes,1,Price,Lack of affordable download/upload speed
5276-KQWHG,Q3,Churned,Yes,1,Price,Extra data charges
9667-EQRXU,Q3,Churned,Yes,1,Other,Don't know
0946-CLJTI,Q3,Churned,Yes,1,Competitor,Competitor had better devices
0324-BRPCJ,Q3,Churned,Yes,1,Competitor,Competitor offered more data
9189-JWSHV,Q3,Churned,Yes,1,Price,Price too high
0576-WNXXC,Q3,Churned,Yes,1,Dissatisfaction,Service dissatisfaction
5482-PLVPE,Q3,Churned,Yes,1,Competitor,Competitor had better devices
4902-OHLSK,Q3,Churned,Yes,1,Attitude,Attitude of support person
0495-ZBNGW,Q3,Churned,Yes,1,Competitor,Competitor offered more data
2357-COQEK,Q3,Churned,Yes,1,Competitor,Competitor made better offer
2034-CGRHZ,Q3,Churned,Yes,1,Attitude,Attitude of support person
9360-AHGNL,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
5485-WUYWF,Q3,Churned,Yes,1,Price,Long distance charges
2632-UCGVD,Q3,Churned,Yes,1,Price,Extra data charges
6425-YQLLO,Q3,Churned,Yes,1,Other,Don't know
2091-RFFBA,Q3,Churned,Yes,1,Attitude,Attitude of support person
6899-PPEEA,Q3,Churned,Yes,1,Attitude,Attitude of service provider
4597-NUCQV,Q3,Churned,Yes,1,Attitude,Attitude of support person
3754-DXMRT,Q3,Churned,Yes,1,Attitude,Attitude of support person
7130-VTEWQ,Q3,Churned,Yes,1,Competitor,Competitor offered more data
7903-CMPEY,Q3,Churned,Yes,1,Competitor,Competitor had better devices
1704-NRWYE,Q3,Churned,Yes,1,Attitude,Attitude of support person
7481-ATQQS,Q3,Churned,Yes,1,Attitude,Attitude of support person
0023-HGHWL,Q3,Churned,Yes,1,Competitor,Competitor made better offer
1792-UXAFY,Q3,Churned,Yes,1,Dissatisfaction,Service dissatisfaction
6161-UUUTA,Q3,Churned,Yes,1,Price,Price too high
6543-XRMYR,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
2479-BRAMR,Q3,Churned,Yes,1,Competitor,Competitor offered more data
3714-JTVOV,Q3,Churned,Yes,1,Attitude,Attitude of support person
8580-QVLOC,Q3,Churned,Yes,1,Competitor,Competitor made better offer
2012-NWRPA,Q3,Churned,Yes,1,Competitor,Competitor made better offer
8808-ELEHO,Q3,Churned,Yes,1,Price,Price too high
9058-CBREO,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
8063-GBATB,Q3,Churned,Yes,1,Competitor,Competitor had better devices
1069-XAIEM,Q3,Churned,Yes,1,Competitor,Competitor had better devices
6987-XQSJT,Q3,Churned,Yes,1,Attitude,Attitude of support person
0722-TROQR,Q3,Churned,Yes,1,Price,Lack of affordable download/upload speed
6402-ZFPPI,Q3,Churned,Yes,1,Price,Price too high
9965-YOKZB,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
0504-HHAPI,Q3,Churned,Yes,1,Other,Don't know
3791-LGQCY,Q3,Churned,Yes,1,Attitude,Attitude of support person
8166-ZZTFS,Q3,Churned,Yes,1,Attitude,Attitude of support person
2956-GGUCQ,Q3,Churned,Yes,1,Attitude,Attitude of service provider
2778-OCLGR,Q3,Churned,Yes,1,Competitor,Competitor had better devices
7067-KSAZT,Q3,Churned,Yes,1,Competitor,Competitor made better offer
9300-AGZNL,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
1112-CUNAO,Q3,Churned,Yes,1,Dissatisfaction,Service dissatisfaction
3389-YGYAI,Q3,Churned,Yes,1,Price,Price too high
3070-DVEYC,Q3,Churned,Yes,1,Attitude,Attitude of support person
5707-ORNDZ,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
8696-JKZNU,Q3,Churned,Yes,1,Other,Don't know
2055-PDADH,Q3,Churned,Yes,1,Other,Don't know
2302-ANTDP,Q3,Churned,Yes,1,Competitor,Competitor offered more data
5233-GEEAX,Q3,Churned,Yes,1,Competitor,Competitor had better devices
7137-RYLPP,Q3,Churned,Yes,1,Competitor,Competitor offered higher download speeds
3957-LXOLK,Q3,Churned,Yes,1,Competitor,Competitor offered more data
5281-BUZGT,Q3,Churned,Yes,1,Competitor,Competitor made better offer
2718-GAXQD,Q3,Churned,Yes,1,Competitor,Competitor made better offer
3217-FZDMN,Q3,Churned,Yes,1,Competitor,Competitor had better devices
7480-QNVZJ,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
7124-UGSUR,Q3,Churned,Yes,1,Competitor,Competitor had better devices
1862-SKORY,Q3,Churned,Yes,1,Competitor,Competitor offered higher download speeds
4816-JBHOV,Q3,Churned,Yes,1,Competitor,Competitor offered more data
3247-ZVOUO,Q3,Churned,Yes,1,Attitude,Attitude of support person
1268-ASBGA,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
4713-LZDRV,Q3,Churned,Yes,1,Price,Long distance charges
4325-NFSKC,Q3,Churned,Yes,1,Price,Extra data charges
6502-HCJTI,Q3,Churned,Yes,1,Attitude,Attitude of service provider
8258-GSTJK,Q3,Churned,Yes,1,Competitor,Competitor had better devices
2995-UPRYS,Q3,Churned,Yes,1,Other,Moved
6686-YPGHK,Q3,Churned,Yes,1,Other,Moved
8020-BWHYL,Q3,Churned,Yes,1,Competitor,Competitor offered more data
6892-XPFPU,Q3,Churned,Yes,1,Competitor,Competitor offered higher download speeds
8010-EZLOU,Q3,Churned,Yes,1,Competitor,Competitor offered higher download speeds
8062-YBDOE,Q3,Churned,Yes,1,Other,Don't know
3672-YITQD,Q3,Churned,Yes,1,Competitor,Competitor made better offer
8988-ECPJR,Q3,Churned,Yes,1,Dissatisfaction,Product dissatisfaction
3776-EKTKM,Q3,Churned,Yes,1,Dissatisfaction,Service dissatisfaction
0643-OKLRP,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
9381-NDKME,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
8327-LZKAS,Q3,Churned,Yes,1,Dissatisfaction,Service dissatisfaction
1075-BGWOH,Q3,Churned,Yes,1,Attitude,Attitude of support person
8485-GJCDN,Q3,Churned,Yes,1,Competitor,Competitor made better offer
6029-WTIPC,Q3,Churned,Yes,1,Competitor,Competitor made better offer
3317-HRTNN,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5569-OUICF,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5747-PMBSQ,Q3,Churned,Yes,1,Competitor,Competitor made better offer
2982-IHMFT,Q3,Churned,Yes,1,Competitor,Competitor made better offer
5143-EGQFK,Q3,Churned,Yes,1,Other,Don't know
6168-WFVVF,Q3,Churned,Yes,1,Competitor,Competitor made better offer
7450-NWRTR,Q3,Churned,Yes,1,Competitor,Competitor made better offer
6005-OBZPH,Q3,Churned,Yes,1,Other,Don't know
7932-WPTDS,Q3,Churned,Yes,1,Competitor,Competitor made better offer
7000-WCEVQ,Q3,Churned,Yes,1,Price,Long distance charges
5959-BELXA,Q3,Churned,Yes,1,Price,Price too high
2506-TNFCO,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
6060-DRTNL,Q3,Churned,Yes,1,Competitor,Competitor had better devices
8473-VUVJN,Q3,Churned,Yes,1,Attitude,Attitude of service provider
0196-VULGZ,Q3,Churned,Yes,1,Other,Deceased
1976-CFOCS,Q3,Churned,Yes,1,Competitor,Competitor had better devices
4631-OACRM,Q3,Churned,Yes,1,Competitor,Competitor offered higher download speeds
3755-JBMNH,Q3,Churned,Yes,1,Competitor,Competitor offered more data
6345-ULYRW,Q3,Churned,Yes,1,Competitor,Competitor made better offer
0013-EXCHZ,Q3,Churned,Yes,1,Dissatisfaction,Network reliability
5550-VFRLC,Q3,Churned,Yes,1,Dissatisfaction,Limited range of services
2657-ALMWY,Q3,Churned,Yes,1,Price,Price too high
6284-AHOOQ,Q3,Churned,Yes,1,Other,Don't know
2460-FPSYH,Q3,Churned,Yes,1,Attitude,Attitude of support person
5028-HTLJB,Q3,Churned,Yes,1,Price,Long distance charges
0875-CABNR,Q3,Churned,Yes,1,Attitude,Attitude of support person
6982-UQZLY,Q3,Churned,Yes,1,Attitude,Attitude of support person
0193-ESZXP,Q3,Churned,Yes,1,Attitude,Attitude of support person
4369-HTUIF,Q3,Churned,Yes,1,Attitude,Attitude of service provider
5287-QWLKY,Q3,Churned,Yes,1,Attitude,Attitude of support person
