Customer ID,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents
4597-NUCQV,M,65,No,Yes,No,No,0
3754-DXMRT,M,78,No,Yes,No,No,0
7130-VTEWQ,F,74,No,Yes,No,No,0
7903-CMPEY,M,78,No,Yes,Yes,No,0
1704-NRWYE,F,79,No,Yes,No,No,0
7481-ATQQS,F,76,No,Yes,No,No,0
0023-HGHWL,M,67,No,Yes,No,No,0
1792-UXAFY,F,80,No,Yes,No,No,0
6161-UUUTA,M,77,No,Yes,No,No,0
6543-XRMYR,F,73,No,Yes,No,No,0
2479-BRAMR,M,74,No,Yes,Yes,No,0
3714-JTVOV,F,76,No,Yes,Yes,No,0
8580-QVLOC,F,78,No,Yes,Yes,No,0
2012-NWRPA,F,78,No,Yes,Yes,No,0
8808-ELEHO,M,66,No,Yes,No,No,0
9058-CBREO,F,69,No,Yes,No,No,0
8063-GBATB,F,74,No,Yes,No,No,0
1069-XAIEM,F,68,No,Yes,No,No,0
6987-XQSJT,F,68,No,Yes,No,No,0
0722-TROQR,F,68,No,Yes,No,No,0
6402-ZFPPI,F,75,No,Yes,No,No,0
9965-YOKZB,M,73,No,Yes,No,No,0
0504-HHAPI,F,72,No,Yes,No,No,0
3791-LGQCY,F,68,No,Yes,Yes,No,0
8166-ZZTFS,F,74,No,Yes,Yes,No,0
2956-GGUCQ,M,71,No,Yes,Yes,No,0
2778-OCLGR,M,75,No,Yes,Yes,No,0
9300-AGZNL,M,76,No,Yes,No,No,0
1112-CUNAO,F,67,No,Yes,No,No,0
3389-YGYAI,F,79,No,Yes,No,No,0
3070-DVEYC,M,78,No,Yes,No,No,0
5707-ORNDZ,M,79,No,Yes,No,No,0
8696-JKZNU,F,78,No,Yes,No,No,0
2055-PDADH,F,71,No,Yes,No,No,0
2302-ANTDP,F,76,No,Yes,Yes,No,0
5233-GEEAX,M,65,No,Yes,No,No,0
7137-RYLPP,M,75,No,Yes,Yes,No,0
3957-LXOLK,F,75,No,Yes,No,No,0
5281-BUZGT,M,69,No,Yes,No,No,0
2718-GAXQD,F,68,No,Yes,Yes,Yes,3
3217-FZDMN,F,66,No,Yes,No,No,0
7480-QNVZJ,M,65,No,Yes,No,No,0
7124-UGSUR,F,77,No,Yes,Yes,No,0
1862-SKORY,F,66,No,Yes,Yes,No,0
4816-JBHOV,M,72,No,Yes,No,No,0
3247-ZVOUO,M,77,No,Yes,Yes,No,0
1268-ASBGA,F,66,No,Yes,Yes,No,0
4713-LZDRV,F,80,No,Yes,No,No,0
4325-NFSKC,M,68,No,Yes,No,No,0
6502-HCJTI,M,78,No,Yes,Yes,No,0
8258-GSTJK,M,74,No,Yes,No,No,0
2995-UPRYS,F,74,No,Yes,Yes,No,0
6686-YPGHK,M,65,No,Yes,No,No,0
8020-BWHYL,F,70,No,Yes,No,No,0
6892-XPFPU,M,70,No,Yes,Yes,No,0
8062-YBDOE,M,70,No,Yes,No,No,0
3672-YITQD,M,71,No,Yes,Yes,No,0
8988-ECPJR,F,79,No,Yes,Yes,No,0
3776-EKTKM,F,79,No,Yes,No,No,0
0643-OKLRP,F,73,No,Yes,Yes,No,0
9381-NDKME,F,74,No,Yes,Yes,No,0
8327-LZKAS,F,80,No,Yes,Yes,No,0
8485-GJCDN,F,71,No,Yes,No,No,0
6029-WTIPC,M,73,No,Yes,No,No,0
3317-HRTNN,F,79,No,Yes,No,No,0
5569-OUICF,F,67,No,Yes,Yes,No,0
5747-PMBSQ,M,72,No,Yes,Yes,No,0
2982-IHMFT,F,75,No,Yes,No,No,0
5143-EGQFK,F,76,No,Yes,No,No,0
6168-WFVVF,F,69,No,Yes,No,No,0
7450-NWRTR,M,76,No,Yes,No,No,0
6005-OBZPH,F,68,No,Yes,No,No,0
7932-WPTDS,F,77,No,Yes,Yes,No,0
7000-WCEVQ,F,67,No,Yes,No,No,0
5959-BELXA,M,67,No,Yes,No,No,0
2506-TNFCO,F,76,No,Yes,Yes,No,0
6060-DRTNL,F,66,No,Yes,No,No,0
8473-VUVJN,M,80,No,Yes,No,No,0
0196-VULGZ,F,78,No,Yes,Yes,No,0
1976-CFOCS,F,69,No,Yes,Yes,No,0
4631-OACRM,M,78,No,Yes,No,No,0
3755-JBMNH,M,78,No,Yes,Yes,No,0
6345-ULYRW,M,68,No,Yes,Yes,No,0
0013-EXCHZ,F,75,No,Yes,Yes,No,0
2657-ALMWY,F,65,No,Yes,Yes,No,0
6284-AHOOQ,M,71,No,Yes,No,No,0
2460-FPSYH,F,72,No,Yes,No,No,0
5028-HTLJB,M,69,No,Yes,No,No,0
0875-CABNR,F,70,No,Yes,No,No,0
6982-UQZLY,F,80,No,Yes,Yes,No,0
0193-ESZXP,F,73,No,Yes,Yes,No,0
4369-HTUIF,M,73,No,Yes,No,No,0
5287-QWLKY,M,79,No,Yes,Yes,No,0
1891-UAWWU,F,79,No,Yes,Yes,No,0
3096-JRDSO,F,73,No,Yes,Yes,No,0
2398-YPMUR,F,77,No,Yes,Yes,No,0
1265-XTECC,F,68,No,Yes,Yes,No,0
4871-JTKJF,F,70,No,Yes,No,No,0
1415-YFWLT,F,68,No,Yes,No,No,0
3500-RMZLT,F,76,No,Yes,No,No,0
2642-DTVCO,M,68,No,Yes,No,No,0
1363-TXLSL,M,80,No,Yes,Yes,No,0
7136-RVDTZ,M,79,No,Yes,No,No,0
6927-WTFIV,M,78,No,Yes,No,No,0
3398-ZOUAA,M,76,No,Yes,Yes,No,0
4844-JJWUY,F,65,No,Yes,No,No,0
4785-QRJHC,M,80,No,Yes,Yes,No,0
1965-AKTSX,F,65,No,Yes,No,No,0
7248-VZQLC,F,78,No,Yes,No,No,0
0011-IGKFF,M,78,No,Yes,Yes,No,0
6496-SLWHQ,M,68,No,Yes,No,No,0
9912-GVSEQ,F,73,No,Yes,Yes,No,0
5383-MMTWC,F,75,No,Yes,Yes,No,0
6877-LGWXO,M,66,No,Yes,Yes,No,0
5167-GBFRE,M,73,No,Yes,No,No,0
1324-NLTJE,F,73,No,Yes,No,No,0
5567-WSELE,M,70,No,Yes,Yes,No,0
6646-VRFOL,M,74,No,Yes,Yes,No,0
9090-SGQXL,M,70,No,Yes,Yes,No,0
6595-YGXIT,M,71,No,Yes,No,No,0
5649-TJHOV,M,68,No,Yes,Yes,No,0
9253-QXKBE,M,73,No,Yes,Yes,No,0
8775-LHDJH,F,77,No,Yes,Yes,No,0
3097-NQYSN,M,73,No,Yes,Yes,No,0
9190-MFJLN,M,65,No,Yes,No,No,0
1095-JUDTC,F,78,No,Yes,No,No,0
5385-SUIRI,M,69,No,Yes,Yes,No,0
6328-ZPBGN,F,67,No,Yes,No,No,0
2856-NNASM,M,74,No,Yes,No,No,0
6769-DYBQN,M,77,No,Yes,No,No,0
2446-BEGGB,F,79,No,Yes,No,No,0
1496-GGSUK,F,68,No,Yes,No,No,0
3296-SILRA,F,76,No,Yes,Yes,No,0
5180-UCIIQ,M,80,No,Yes,Yes,Yes,2
1977-STDKI,F,72,No,Yes,No,No,0
5813-UECBU,M,78,No,Yes,No,No,0
4342-HENTK,F,67,No,Yes,No,No,0
1597-LHYNC,F,74,No,Yes,No,No,0
8651-ENBZX,F,68,No,Yes,No,No,0
9286-DOJGF,F,66,No,Yes,Yes,No,0
9661-MHUMO,M,71,No,Yes,Yes,Yes,1
8884-ADFVN,M,65,No,Yes,Yes,No,0
9776-CLUJA,F,69,No,Yes,Yes,No,0
3551-HUAZH,M,68,No,Yes,No,No,0
8634-MPHTR,M,68,No,Yes,Yes,No,0
2474-BRUCM,M,76,No,Yes,Yes,No,0
0616-ATFGB,M,74,No,Yes,Yes,No,0
7235-NXZCP,M,79,No,Yes,No,No,0
6661-HBGWL,F,69,No,Yes,No,No,0
9317-WZPGV,F,74,No,Yes,No,No,0
3621-CEOVK,F,71,No,Yes,Yes,No,0
7632-MNYOY,M,69,No,Yes,No,No,0
9248-OJYKK,M,74,No,Yes,No,No,0
3398-FSHON,F,79,No,Yes,No,No,0
3319-DWOEP,M,69,No,Yes,Yes,No,0
0818-OCPZO,M,80,No,Yes,No,No,0
1389-CXMLU,M,65,No,Yes,No,No,0
5561-NWEVX,F,78,No,Yes,Yes,No,0
2272-QAGFO,F,75,No,Yes,No,No,0
3768-NLUBH,M,73,No,Yes,Yes,No,0
7359-SSBJK,F,80,No,Yes,No,No,0
0685-MLYYM,F,74,No,Yes,No,No,0
7957-RYHQD,F,65,No,Yes,No,No,0
6230-BSUXY,F,71,No,Yes,No,No,0
3990-QYKBE,M,74,No,Yes,Yes,No,0
9274-CNFMO,M,76,No,Yes,Yes,No,0
3005-NFMTA,M,73,No,Yes,No,No,0
5389-FFVKB,M,71,No,Yes,Yes,No,0
8444-WRIDW,F,72,No,Yes,No,No,0
5868-YWPDW,M,76,No,Yes,Yes,No,0
1273-MTETI,F,69,No,Yes,No,No,0
5480-HPRRX,F,80,No,Yes,No,No,0
7234-FECYN,F,78,No,Yes,No,No,0
1400-MMYXY,M,71,No,Yes,Yes,No,0
7142-HVGBG,M,73,No,Yes,Yes,No,0
1564-NTYXF,F,79,No,Yes,No,No,0
0886-QGENL,F,72,No,Yes,Yes,No,0
8739-WWKDU,M,69,No,Yes,No,No,0
8685-WHQPW,F,79,No,Yes,No,No,0
7240-FQLHE,F,68,No,Yes,Yes,No,0
6664-FPDAC,F,77,No,Yes,No,No,0
0786-VSSUD,M,68,No,Yes,No,No,0
6583-QGCSI,F,79,No,Yes,Yes,No,0
1980-KXVPM,F,68,No,Yes,No,No,0
6894-LFHLY,M,79,No,Yes,No,No,0
8361-LTMKD,M,75,No,Yes,Yes,No,0
3841-NFECX,F,69,No,Yes,Yes,No,0
4929-XIHVW,M,79,No,Yes,Yes,No,0
3413-BMNZE,M,71,No,Yes,No,No,0
8012-SOUDQ,F,65,No,Yes,No,No,0
6575-SUVOI,F,65,No,Yes,Yes,No,0
4667-QONEA,F,72,No,Yes,Yes,No,0
5067-XJQFU,M,77,No,Yes,Yes,No,0
1891-QRQSA,M,71,No,Yes,Yes,No,0
2673-CXQEU,F,73,No,Yes,No,No,0
0191-ZHSKZ,M,80,No,Yes,No,No,0
2424-WVHPL,M,79,No,Yes,No,No,0
5386-THSLQ,F,65,No,Yes,Yes,No,0
2639-UGMAZ,M,73,No,Yes,No,No,0
3146-MSEGF,F,71,No,Yes,Yes,No,0
1131-QQZEB,M,66,No,Yes,Yes,No,0
2504-DSHIH,M,66,No,Yes,Yes,No,0
9058-HRZSV,F,77,No,Yes,Yes,No,0
4522-AKYLR,F,68,No,Yes,No,No,0
0221-WMXNQ,M,66,No,Yes,No,No,0
5046-NUHWD,F,69,No,Yes,Yes,No,0
3197-ARFOY,F,67,No,Yes,No,No,0
4716-HHKQH,M,68,No,Yes,Yes,No,0
3179-GBRWV,M,79,No,Yes,Yes,No,0
4847-TAJYI,F,77,No,Yes,No,No,0
6851-WEFYX,M,73,No,Yes,Yes,No,0
3167-SNQPL,M,71,No,Yes,Yes,Yes,1
2799-ARNLO,F,67,No,Yes,Yes,No,0
5701-YVSVF,F,68,No,Yes,Yes,No,0
5697-GOMBF,F,75,No,Yes,Yes,Yes,3
2739-CACDQ,F,79,No,Yes,No,No,0
6035-BXTTY,F,69,No,Yes,No,No,0
0021-IKXGC,F,72,No,Yes,No,No,0
4654-DLAMQ,F,69,No,Yes,Yes,No,0
4115-NZRKS,F,72,No,Yes,No,No,0
3351-NGXYI,F,70,No,Yes,No,No,0
8204-YJCLA,M,78,No,Yes,Yes,No,0
9774-NRNAU,M,77,No,Yes,Yes,No,0
0224-RLWWD,F,73,No,Yes,No,No,0
3951-NJCVI,F,76,No,Yes,Yes,No,0
0177-PXBAT,M,78,No,Yes,Yes,No,0
2519-ERQOJ,M,74,No,Yes,No,No,0
0111-KLBQG,M,71,No,Yes,Yes,Yes,1
1996-DBMUS,F,72,No,Yes,Yes,No,0
2055-SIFSS,F,75,No,Yes,Yes,No,0
2806-MLNTI,M,79,No,Yes,Yes,No,0
5628-RKIFK,F,76,No,Yes,No,No,0
5760-WRAHC,F,78,No,Yes,No,No,0
1480-BKXGA,M,75,No,Yes,Yes,No,0
4933-IKULF,F,71,No,Yes,No,No,0
3780-DDGSE,M,77,No,Yes,Yes,Yes,1
4612-SSVHJ,F,74,No,Yes,No,No,0
5756-OZRIO,M,73,No,Yes,Yes,No,0
4513-CXYIX,F,73,No,Yes,Yes,No,0
4332-MUOEZ,M,78,No,Yes,Yes,No,0
6705-LXORM,F,79,No,Yes,Yes,No,0
4109-CYRBD,M,77,No,Yes,Yes,No,0
8606-CIQUL,M,77,No,Yes,Yes,Yes,1
0356-OBMAC,F,80,No,Yes,No,No,0
1297-VQDRP,M,80,No,Yes,Yes,Yes,1
4676-MQUEA,M,80,No,Yes,Yes,No,0
7025-WCBNE,M,74,No,Yes,No,No,0
6030-REHUX,F,76,No,Yes,Yes,No,0
6522-YRBXD,M,68,No,Yes,Yes,No,0
6689-VRRTK,F,71,No,Yes,No,No,0
7134-MJPDY,F,69,No,Yes,No,No,0
4881-JVQOD,M,73,No,Yes,Yes,Yes,3
6797-UCJHZ,F,74,No,Yes,Yes,No,0
2469-DTSGX,F,72,No,Yes,No,No,0
4908-XAXAY,F,70,No,Yes,No,No,0
3509-GWQGF,M,74,No,Yes,No,No,0
